brand,model,year,price,mileage,fuel_type,transmission,engine_size,color,url,description,type,warranty,features,safety_features,tech_features,comfort_features,dealer_location,availability,delivery_time
Hyundai,Kona,2024,"$42,803",0 km,Electric,CVT,81 kWh Battery,Black,https://www.contactcars.com/en/new-cars/hyundai/kona-2024,"Brand new 2024 Hyundai Kona. Zero kilometers, full warranty, latest features and technology.",New Car,"3-Year/36,000-Mile Basic Warranty","Traction Control, Electronic Stability Control, 360-Degree Camera, Parking Sensors, Rear Cross Traffic Alert, Lane Departure Warning, Adaptive Cruise Control, Tire Pressure Monitoring, Satellite Navigation, Wireless Smartphone Integration, Wi-Fi Hotspot, Panoramic Sunroof, Bluetooth Connectivity, USB-C Ports, Voice Recognition, Wireless Charging, Power Mirrors, Rain-Sensing Wipers, Power Windows","Traction Control, Electronic Stability Control, 360-Degree Camera, Parking Sensors, Rear Cross Traffic Alert, Lane Departure Warning, Adaptive Cruise Control, Tire Pressure Monitoring","Satellite Navigation, Wireless Smartphone Integration, Wi-Fi Hotspot, Panoramic Sunroof, Bluetooth Connectivity, USB-C Ports, Voice Recognition, Wireless Charging","Power Mirrors, Rain-Sensing Wipers, Power Windows",ContactCars Hyundai Showroom,Coming Soon,1-2 weeks
Aston Martin,Unknown Model,2024,"$62,996",0 km,Plug-in Hybrid,Dual-Clutch,3.3L,Black,https://www.contactcars.com/en/new-cars/aston-martin/unknown-model-2024,"Brand new 2024 Aston Martin Unknown Model. Zero kilometers, full warranty, latest features and technology.",New Car,"10-Year/100,000-Mile Limited Warranty","Rear Cross Traffic Alert, Blind Spot Monitoring, Anti-lock Braking System, Automatic Emergency Braking, Traction Control, Adaptive Cruise Control, Parking Sensors, Ambient Lighting, Voice Recognition, USB-C Ports, Satellite Navigation, Android Auto, Wi-Fi Hotspot, Bluetooth Connectivity, Digital Instrument Cluster, Wireless Smartphone Integration, Power Windows, Push-Button Start, Climate Control, Dual-Zone Climate, Keyless Entry","Rear Cross Traffic Alert, Blind Spot Monitoring, Anti-lock Braking System, Automatic Emergency Braking, Traction Control, Adaptive Cruise Control, Parking Sensors","Ambient Lighting, Voice Recognition, USB-C Ports, Satellite Navigation, Android Auto, Wi-Fi Hotspot, Bluetooth Connectivity, Digital Instrument Cluster, Wireless Smartphone Integration","Power Windows, Push-Button Start, Climate Control, Dual-Zone Climate, Keyless Entry",ContactCars Aston Martin Showroom,In Stock,4-8 weeks
Ferrari,Unknown Model,2024,"$462,414",0 km,Diesel,CVT,1.8L,Silver,https://www.contactcars.com/en/new-cars/ferrari/unknown-model-2024,"Brand new 2024 Ferrari Unknown Model. Zero kilometers, full warranty, latest features and technology.",New Car,"5-Year/60,000-Mile Powertrain Warranty","Rear Cross Traffic Alert, Anti-lock Braking System, Blind Spot Monitoring, Lane Departure Warning, Automatic Emergency Braking, Tire Pressure Monitoring, Electronic Stability Control, Traction Control, Digital Instrument Cluster, Android Auto, Voice Recognition, Wi-Fi Hotspot, USB-C Ports, Ambient Lighting, Wireless Smartphone Integration, Dual-Zone Climate, Ventilated Seats, Heated Steering Wheel, Power Mirrors, Push-Button Start, Auto-Dimming Mirrors, Memory Seats","Rear Cross Traffic Alert, Anti-lock Braking System, Blind Spot Monitoring, Lane Departure Warning, Automatic Emergency Braking, Tire Pressure Monitoring, Electronic Stability Control, Traction Control","Digital Instrument Cluster, Android Auto, Voice Recognition, Wi-Fi Hotspot, USB-C Ports, Ambient Lighting, Wireless Smartphone Integration","Dual-Zone Climate, Ventilated Seats, Heated Steering Wheel, Power Mirrors, Push-Button Start, Auto-Dimming Mirrors, Memory Seats",ContactCars Ferrari Showroom,In Stock,2-4 weeks
Ram,Unknown Model,2024,"$48,933",0 km,Gasoline,Automatic,6.6L,Blue,https://www.contactcars.com/en/new-cars/ram/unknown-model-2024,"Brand new 2024 Ram Unknown Model. Zero kilometers, full warranty, latest features and technology.",New Car,"5-Year/60,000-Mile Powertrain Warranty","Electronic Stability Control, Traction Control, Tire Pressure Monitoring, Blind Spot Monitoring, Adaptive Cruise Control, Gesture Control, Premium Sound System, Wireless Charging, Digital Instrument Cluster, Ambient Lighting, Wi-Fi Hotspot, Android Auto, Voice Recognition, USB-C Ports, Satellite Navigation, Memory Seats, Keyless Entry, Heated Steering Wheel, Remote Start, Heated Seats, Ventilated Seats, Power Seats","Electronic Stability Control, Traction Control, Tire Pressure Monitoring, Blind Spot Monitoring, Adaptive Cruise Control","Gesture Control, Premium Sound System, Wireless Charging, Digital Instrument Cluster, Ambient Lighting, Wi-Fi Hotspot, Android Auto, Voice Recognition, USB-C Ports, Satellite Navigation","Memory Seats, Keyless Entry, Heated Steering Wheel, Remote Start, Heated Seats, Ventilated Seats, Power Seats",ContactCars Ram Showroom,Available for Order,Immediate
Chrysler,Unknown Model,2024,"$61,843",0 km,Gasoline,Automatic,5.3L,Blue,https://www.contactcars.com/en/new-cars/chrysler/unknown-model-2024,"Brand new 2024 Chrysler Unknown Model. Zero kilometers, full warranty, latest features and technology.",New Car,"10-Year/100,000-Mile Limited Warranty","Lane Departure Warning, Rear Cross Traffic Alert, Automatic Emergency Braking, Anti-lock Braking System, Traction Control, Bluetooth Connectivity, Wi-Fi Hotspot, Voice Recognition, Satellite Navigation, Digital Instrument Cluster, Remote Start, Power Seats, Power Windows, Push-Button Start, Power Mirrors","Lane Departure Warning, Rear Cross Traffic Alert, Automatic Emergency Braking, Anti-lock Braking System, Traction Control","Bluetooth Connectivity, Wi-Fi Hotspot, Voice Recognition, Satellite Navigation, Digital Instrument Cluster","Remote Start, Power Seats, Power Windows, Push-Button Start, Power Mirrors",ContactCars Chrysler Showroom,Available for Order,4-8 weeks
Lamborghini,Unknown Model,2024,"$790,187",0 km,Gasoline,CVT,2.0L,Black,https://www.contactcars.com/en/new-cars/lamborghini/unknown-model-2024,"Brand new 2024 Lamborghini Unknown Model. Zero kilometers, full warranty, latest features and technology.",New Car,"3-Year/36,000-Mile Basic Warranty","Electronic Stability Control, Adaptive Cruise Control, Anti-lock Braking System, Rear Cross Traffic Alert, Automatic Emergency Braking, Wireless Charging, Apple CarPlay, USB-C Ports, Digital Instrument Cluster, Panoramic Sunroof, Wi-Fi Hotspot, Rain-Sensing Wipers, Ventilated Seats, Heated Steering Wheel, Dual-Zone Climate, Remote Start, Heated Seats, Power Mirrors","Electronic Stability Control, Adaptive Cruise Control, Anti-lock Braking System, Rear Cross Traffic Alert, Automatic Emergency Braking","Wireless Charging, Apple CarPlay, USB-C Ports, Digital Instrument Cluster, Panoramic Sunroof, Wi-Fi Hotspot","Rain-Sensing Wipers, Ventilated Seats, Heated Steering Wheel, Dual-Zone Climate, Remote Start, Heated Seats, Power Mirrors",ContactCars Lamborghini Showroom,In Stock,Immediate
Ford,Mach-E,2024,"$34,659",0 km,Diesel,CVT,2.0L,Purple,https://www.contactcars.com/en/new-cars/ford/mach-e-2024,"Brand new 2024 Ford Mach-E. Zero kilometers, full warranty, latest features and technology.",New Car,"10-Year/100,000-Mile Limited Warranty","Electronic Stability Control, Automatic Emergency Braking, Lane Departure Warning, Parking Sensors, USB-C Ports, Apple CarPlay, Gesture Control, Panoramic Sunroof, Digital Instrument Cluster, Head-Up Display, Wireless Charging, Wireless Smartphone Integration, Ambient Lighting, Power Mirrors, Remote Start, Push-Button Start","Electronic Stability Control, Automatic Emergency Braking, Lane Departure Warning, Parking Sensors","USB-C Ports, Apple CarPlay, Gesture Control, Panoramic Sunroof, Digital Instrument Cluster, Head-Up Display, Wireless Charging, Wireless Smartphone Integration, Ambient Lighting","Power Mirrors, Remote Start, Push-Button Start",ContactCars Ford Showroom,In Stock,2-4 weeks
Toyota,Highlander,2024,"$43,940",0 km,Gasoline,CVT,4.9L,Green,https://www.contactcars.com/en/new-cars/toyota/highlander-2024,"Brand new 2024 Toyota Highlander. Zero kilometers, full warranty, latest features and technology.",New Car,"10-Year/100,000-Mile Limited Warranty","Lane Departure Warning, Blind Spot Monitoring, Electronic Stability Control, Anti-lock Braking System, Automatic Emergency Braking, Adaptive Cruise Control, 360-Degree Camera, Forward Collision Warning, Satellite Navigation, Voice Recognition, Wireless Smartphone Integration, Head-Up Display, Android Auto, Gesture Control, USB-C Ports, Wi-Fi Hotspot, Keyless Entry, Power Mirrors, Power Windows, Dual-Zone Climate, Power Seats","Lane Departure Warning, Blind Spot Monitoring, Electronic Stability Control, Anti-lock Braking System, Automatic Emergency Braking, Adaptive Cruise Control, 360-Degree Camera, Forward Collision Warning","Satellite Navigation, Voice Recognition, Wireless Smartphone Integration, Head-Up Display, Android Auto, Gesture Control, USB-C Ports, Wi-Fi Hotspot","Keyless Entry, Power Mirrors, Power Windows, Dual-Zone Climate, Power Seats",ContactCars Toyota Showroom,Coming Soon,2-4 weeks
Seat,Unknown Model,2024,"$100,944",0 km,Hydrogen,Dual-Clutch,4.5L,Red,https://www.contactcars.com/en/new-cars/seat/unknown-model-2024,"Brand new 2024 Seat Unknown Model. Zero kilometers, full warranty, latest features and technology.",New Car,"4-Year/50,000-Mile Comprehensive Warranty","Parking Sensors, Electronic Stability Control, Adaptive Cruise Control, Apple CarPlay, Satellite Navigation, Premium Sound System, USB-C Ports, Bluetooth Connectivity, Head-Up Display, Wireless Smartphone Integration, Android Auto, Digital Instrument Cluster, Ventilated Seats, Power Seats, Remote Start, Power Mirrors, Power Windows, Push-Button Start, Keyless Entry, Heated Seats","Parking Sensors, Electronic Stability Control, Adaptive Cruise Control","Apple CarPlay, Satellite Navigation, Premium Sound System, USB-C Ports, Bluetooth Connectivity, Head-Up Display, Wireless Smartphone Integration, Android Auto, Digital Instrument Cluster","Ventilated Seats, Power Seats, Remote Start, Power Mirrors, Power Windows, Push-Button Start, Keyless Entry, Heated Seats",ContactCars Seat Showroom,Available for Order,1-2 weeks
Volvo,Unknown Model,2024,"$54,111",0 km,Gasoline,Semi-Automatic,1.6L,Gray,https://www.contactcars.com/en/new-cars/volvo/unknown-model-2024,"Brand new 2024 Volvo Unknown Model. Zero kilometers, full warranty, latest features and technology.",New Car,"4-Year/50,000-Mile Comprehensive Warranty","Rear Cross Traffic Alert, 360-Degree Camera, Forward Collision Warning, Parking Sensors, Bluetooth Connectivity, Apple CarPlay, Wireless Smartphone Integration, Wi-Fi Hotspot, Android Auto, USB-C Ports, Wireless Charging, Panoramic Sunroof, Ambient Lighting, Head-Up Display, Rain-Sensing Wipers, Auto-Dimming Mirrors, Memory Seats","Rear Cross Traffic Alert, 360-Degree Camera, Forward Collision Warning, Parking Sensors","Bluetooth Connectivity, Apple CarPlay, Wireless Smartphone Integration, Wi-Fi Hotspot, Android Auto, USB-C Ports, Wireless Charging, Panoramic Sunroof, Ambient Lighting, Head-Up Display","Rain-Sensing Wipers, Auto-Dimming Mirrors, Memory Seats",ContactCars Volvo Showroom,Coming Soon,2-4 weeks
