brand,model,year,price,mileage,fuel_type,transmission,engine_size,color,url,description
Saturn,Unknown Model,2017,"6,220 EGP","85,356 km",Electric,Semi-Automatic,2.5L,Red,https://www.contactcars.com/en/used-cars/saturn/unknown-model-2017,Excellent condition 2017 Saturn Unknown Model. Well maintained with full service history.
Nissan,Unknown Model,2022,"46,421 EGP","126,545 km",Plug-in Hybrid,Manual,3.4L,Blue,https://www.contactcars.com/en/used-cars/nissan/unknown-model-2022,Excellent condition 2022 Nissan Unknown Model. Well maintained with full service history.
Hyundai,Unknown Model,2023,"24,956 EGP","32,659 km",Diesel,Automatic,5.7L,White,https://www.contactcars.com/en/used-cars/hyundai/unknown-model-2023,Excellent condition 2023 Hyundai Unknown Model. Well maintained with full service history.
Cadillac,Unknown Model,2023,"56,817 EGP","33,628 km",Diesel,Manual,1.6L,Orange,https://www.contactcars.com/en/used-cars/cadillac/unknown-model-2023,Excellent condition 2023 Cadillac Unknown Model. Well maintained with full service history.
Scion,Unknown Model,2015,"5,964 EGP","61,915 km",Electric,Manual,6.1L,Blue,https://www.contactcars.com/en/used-cars/scion/unknown-model-2015,Excellent condition 2015 Scion Unknown Model. Well maintained with full service history.
Hyundai,Unknown Model,2013,"$-7,773","130,413 km",Hybrid,Semi-Automatic,6.5L,Silver,https://www.contactcars.com/en/used-cars/hyundai/unknown-model-2013,Excellent condition 2013 Hyundai Unknown Model. Well maintained with full service history.
Ford,Focus,2017,"22,034 EGP","29,673 km",Gasoline,Automatic,4.2L,Orange,https://www.contactcars.com/en/used-cars/ford/focus-2017,Excellent condition 2017 Ford Focus. Well maintained with full service history.
Citroen,Unknown Model,2013,"$-5,346","99,334 km",Hybrid,Automatic,4.2L,Gray,https://www.contactcars.com/en/used-cars/citroen/unknown-model-2013,Excellent condition 2013 Citroen Unknown Model. Well maintained with full service history.
BMW,5 Series,2015,"$9,809","125,196 km",Diesel,CVT,4.4L,Black,https://www.contactcars.com/en/used-cars/bmw/5-series-2015,Excellent condition 2015 BMW 5 Series. Well maintained with full service history.
GMC,Unknown Model,2011,"$-18,784","100,974 km",Hybrid,Manual,5.7L,Orange,https://www.contactcars.com/en/used-cars/gmc/unknown-model-2011,Excellent condition 2011 GMC Unknown Model. Well maintained with full service history.
Audi,TT,2022,"$69,447","90,292 km",Electric,Manual,3.9L,Yellow,https://www.contactcars.com/en/used-cars/audi/tt-2022,Excellent condition 2022 Audi TT. Well maintained with full service history.
Ferrari,Unknown Model,2019,"$137,246","57,333 km",Plug-in Hybrid,Semi-Automatic,5.5L,Yellow,https://www.contactcars.com/en/used-cars/ferrari/unknown-model-2019,Excellent condition 2019 Ferrari Unknown Model. Well maintained with full service history.
Seat,Unknown Model,2023,"$36,328","43,560 km",Hybrid,CVT,6.1L,Orange,https://www.contactcars.com/en/used-cars/seat/unknown-model-2023,Excellent condition 2023 Seat Unknown Model. Well maintained with full service history.
Nissan,Unknown Model,2011,"$-8,587","51,034 km",Diesel,Automatic,5.9L,Silver,https://www.contactcars.com/en/used-cars/nissan/unknown-model-2011,Excellent condition 2011 Nissan Unknown Model. Well maintained with full service history.
Honda,HR-V,2016,"$13,805","55,202 km",Gasoline,CVT,6.6L,Black,https://www.contactcars.com/en/used-cars/honda/hr-v-2016,Excellent condition 2016 Honda HR-V. Well maintained with full service history.
Hyundai,Unknown Model,2024,"$17,491","16,226 km",Hybrid,Manual,6.9L,Red,https://www.contactcars.com/en/used-cars/hyundai/unknown-model-2024,Excellent condition 2024 Hyundai Unknown Model. Well maintained with full service history.
Mazda,Unknown Model,2015,"$7,423","139,592 km",Diesel,Manual,2.3L,White,https://www.contactcars.com/en/used-cars/mazda/unknown-model-2015,Excellent condition 2015 Mazda Unknown Model. Well maintained with full service history.
